GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
techCupFutbol,edu.eci.dosw.tech_cup.enums,TypeUser,0,27,0,0,0,5,0,1,0,1
techCupFutbol,edu.eci.dosw.tech_cup.enums,TypePlayer,0,63,0,0,0,11,0,1,0,1
techCupFutbol,edu.eci.dosw.tech_cup.services,TeamService,64,0,14,0,14,0,11,0,4,0
techCupFutbol,edu.eci.dosw.tech_cup.services,TournamentService,88,0,16,0,20,0,14,0,6,0
techCupFutbol,edu.eci.dosw.tech_cup.services,MatchService,88,0,18,0,19,0,15,0,6,0
techCupFutbol,edu.eci.dosw.tech_cup.exception,TechCupException,0,9,0,0,0,4,0,2,0,2
techCupFutbol,edu.eci.dosw.tech_cup,TechCupApplication,8,0,0,0,3,0,2,0,2,0
techCupFutbol,edu.eci.dosw.tech_cup.model,Gest,0,11,0,0,0,3,0,2,0,2
techCupFutbol,edu.eci.dosw.tech_cup.model,PenaltyCards,0,74,0,8,0,18,0,13,0,9
techCupFutbol,edu.eci.dosw.tech_cup.model,User,0,69,0,0,0,19,0,13,0,13
techCupFutbol,edu.eci.dosw.tech_cup.model,Professor,0,11,0,0,0,3,0,2,0,2
techCupFutbol,edu.eci.dosw.tech_cup.model,Visitor,0,11,0,0,0,3,0,2,0,2
techCupFutbol,edu.eci.dosw.tech_cup.model,Team,4,105,0,6,1,27,1,17,1,14
techCupFutbol,edu.eci.dosw.tech_cup.model,Player,0,74,0,0,0,20,0,13,0,13
techCupFutbol,edu.eci.dosw.tech_cup.model,Referee,0,27,0,0,0,7,0,5,0,5
techCupFutbol,edu.eci.dosw.tech_cup.model,Tournament,220,0,18,0,52,0,36,0,27,0
techCupFutbol,edu.eci.dosw.tech_cup.model,Administrator,0,11,0,0,0,3,0,2,0,2
techCupFutbol,edu.eci.dosw.tech_cup.model,LineUp,0,62,0,8,0,15,0,10,0,6
techCupFutbol,edu.eci.dosw.tech_cup.model,Match,4,132,0,6,1,33,1,22,1,19
techCupFutbol,edu.eci.dosw.tech_cup.model,Statistic,0,69,0,0,0,18,0,11,0,11
techCupFutbol,edu.eci.dosw.tech_cup.model,GraduatePlayer,0,31,0,0,0,7,0,5,0,5
techCupFutbol,edu.eci.dosw.tech_cup.model,StudentPlayer,0,31,0,0,0,7,0,5,0,5
techCupFutbol,edu.eci.dosw.tech_cup.model,Student,0,21,0,0,0,6,0,4,0,4
techCupFutbol,edu.eci.dosw.tech_cup.model,TablePosition,0,69,0,8,0,14,0,11,0,7
techCupFutbol,edu.eci.dosw.tech_cup.model,Graduate,0,21,0,0,0,6,0,4,0,4
